url,Title,Agency,List_Name
https://armyuniversity.edu,Army University ,Defense Department,Military-Departments-A-Z-List.csv
http://www.armyupress.army.mil/,Army University Press,Defense Department,Military-Departments-A-Z-List.csv
https://www.armywarcollege.edu,Army War College ,Defense Department,Military-Departments-A-Z-List.csv
https://ahec.armywarcollege.edu,Army War College - Army Heritage and Educational Center,Defense Department,Military-Departments-A-Z-List.csv
https://warroom.armywarcollege.edu,Army War College - Online Journal,Defense Department,Military-Departments-A-Z-List.csv
https://pksoi.armywarcollege.edu,Army War College - Peacekeeping & Stability Operations Institute,Defense Department,Military-Departments-A-Z-List.csv
https://ssi.armywarcollege.edu,Army War College - Strategic Studies Institute,Defense Department,Military-Departments-A-Z-List.csv
https://www.csl.army.mil,Army War College - The Center for Strategic Leadership,Defense Department,Military-Departments-A-Z-List.csv
https://press.armywarcollege.edu,Army War College Press,Defense Department,Military-Departments-A-Z-List.csv
http://la.defense.gov/,Assistant Secretary of Defense for Legislative Affairs (LA) ,Defense Department,Military-Departments-A-Z-List.csv
http://ra.defense.gov/,Assistant Secretary of Defense for Reserve Affairs ,Defense Department,Military-Departments-A-Z-List.csv
http://policy.defense.gov/solic,Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict (SOLIC),Defense Department,Military-Departments-A-Z-List.csv
https://www.safsq.hq.af.mil/,Assistant Secretary of the Air Force for Space Acquisition & Integration,Defense Department,Military-Departments-A-Z-List.csv
https://www.asafm.army.mil,Assistant Secretary of the Army for Financial Management and Comptroller (ASA-FM&C),Defense Department,Military-Departments-A-Z-List.csv
http://atsdio.defense.gov/,Assistant to the Secretary of Defense for Intelligence Oversight ,Defense Department,Military-Departments-A-Z-List.csv
https://barquist.tricare.mil/,Barquist Army Health Clinic ,Defense Department,Military-Departments-A-Z-List.csv
https://mhs-europe.tricare.mil/,Bavaria MEDDAC-Vilseck ,Defense Department,Military-Departments-A-Z-List.csv
https://diegogarcia.tricare.mil,BHC Diego Garcia,Defense Department,Military-Departments-A-Z-List.csv
http://www.blueangels.navy.mil/,"Blue Angels, Navy ",Defense Department,Military-Departments-A-Z-List.csv
https://www.facebook.com/bushmastercav,Bravo Troop 1-113th Cavalry ,Defense Department,Military-Departments-A-Z-List.csv
https://golearn.adls.af.mil/kc/rso/login/ADLS_LOGIN.ASP,C Co  1-21 2IBCT 25ID,Defense Department,Military-Departments-A-Z-List.csv
https://CalMed.tricare.mil,California Medical Detachment,Defense Department,Military-Departments-A-Z-List.csv
http://www.calguard.ca.gov,California National Guard,Defense Department,Military-Departments-A-Z-List.csv
http://fresnostate.edu/craig/depts-programs/army/,CALIFORNIA STATE UNIVERSITY FR,Defense Department,Military-Departments-A-Z-List.csv
http://www.disa.mil/careers/,Careers @ DISA,Defense Department,Military-Departments-A-Z-List.csv
https://www.youtube.com/c/CDETMarineNet,CDET / MarineNet,Defense Department,Military-Departments-A-Z-List.csv
http://www.cdse.edu/index.html,Center for Development of Security Excellence,Defense Department,Military-Departments-A-Z-List.csv
https://capl.army.mil,Center for the Army Profession and Leadership,Defense Department,Military-Departments-A-Z-List.csv
http://www.cia.gov,central intelligence agency,Defense Department,Military-Departments-A-Z-List.csv
http://medchembio.amedd.army.mil,Chemical Biological Defense Partnership Support Directorate,Defense Department,Military-Departments-A-Z-List.csv
https://chess.army.mil,CHESS IT Emart,Defense Department,Military-Departments-A-Z-List.csv
http://dodcio.defense.gov/,Chief Information Officer (CIO) ,Defense Department,Military-Departments-A-Z-List.csv
http://www.cnatra.navy.mil,Chief of Naval Air Training,Defense Department,Military-Departments-A-Z-List.csv
https://dibnet.dod.mil,CIO,Defense Department,Military-Departments-A-Z-List.csv
https://medcell.army.mil,Civilian Human Resources Agency (CHRA),Defense Department,Military-Departments-A-Z-List.csv
https://portal.chra.army.mil,Civilian Human Resources Agency (CHRA),Defense Department,Military-Departments-A-Z-List.csv
https://acpol2.army.mil/fasclass,Civilian Human Resources Agency (CHRA),Defense Department,Military-Departments-A-Z-List.csv
https://abc.chra.army.mil,Civilian Human Resources Agency (CHRA),Defense Department,Military-Departments-A-Z-List.csv
http://www.cpms.osd.mil/,"Civilian Personnel Management Service, Defense ",Defense Department,Military-Departments-A-Z-List.csv
http://clearpath4vets.com,Clear Path for Veterans,Defense Department,Military-Departments-A-Z-List.csv
http://www.uscg.mil/,Coast Guard - Official Site,Defense Department,Military-Departments-A-Z-List.csv
https://co.ng.mil,Colorado National Guard,Defense Department,Military-Departments-A-Z-List.csv
http://www.cttso.gov/,Combating Terrorism Technical Support Office (CTTSO),Defense Department,Military-Departments-A-Z-List.csv
https://ctip.defense.gov,Combating Trafficking in Persons ,Defense Department,Military-Departments-A-Z-List.csv
https://armyuniversity.edu/cgsc/cgsc,Command and General Staff College,Defense Department,Military-Departments-A-Z-List.csv
https://sharp.dc3n.navy.mil,Commander Naval Air Forces,Defense Department,Military-Departments-A-Z-List.csv
http://www.metoc.navy.mil,Commander Naval Meteorology and Oceanography Command,Defense Department,Military-Departments-A-Z-List.csv
https://airlant.navy.afpims.mil/,"Commander, Naval Air Force Atlantic",Defense Department,Military-Departments-A-Z-List.csv
http://www.cnic.navy.mil/,"Commander, Navy Installations Command (CNIC)",Defense Department,Military-Departments-A-Z-List.csv
https://cnrnw.cnic.navy.mil/,"Commander, Navy Region Northwest",Defense Department,Military-Departments-A-Z-List.csv
https://www.usff.navy.mil,"Commander, U.S. Fleet Forces Command",Defense Department,Military-Departments-A-Z-List.csv
http://budget.house.gov/,Committee on the Budget,Defense Department,Military-Departments-A-Z-List.csv
https://www.airuniversity.af.edu/Barnes/CCAF/,Community College of the Air Force,Defense Department,Military-Departments-A-Z-List.csv
